,Title,Director,Year,Country
293,Patient Zero,Stefan Ruzowitzky,2018,"USA, UK"
294,Peninsula,Tim Rolt,2019,Argentina
295,Pet Sematary,Mary Lambert,1989,Argentina
296,Pet Sematary,Mary Lambert,1989,USA
297,Phantasm,Don Coscarelli,1979,"UK, USA"
298,Phantasm II,Don Coscarelli,1988,USA
299,Phantasm III: Lord of the Dead,Don Coscarelli,1994,USA
300,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,2011,"USA, Mexico"
301,Plaga zombie,"Pablo Parés, Hernán Sáez",1997,Canada
302,Plaga zombie: Zona mutante,"Pablo Parés, Hernán Sáez",2001,USA
303,The Plague,Hal Masonberg,2006,Ireland
304,The Plague of the Zombies,John Gilling,1966,USA
305,Plaguers,Brad Sykes,2008,"USA, UK"
306,Plan 9 from Outer Space,Edward D. Wood Jr.,1959,USA
307,Planet Terror,Robert Rodriguez,2007,USA
308,Pontypool,Bruce McDonald,2008,USA
309,Pop Punk Zombies,Steve Dayton,2011,USA
310,Portrait of a Zombie,Bing Bailey,2012,USA
311,Poultrygeist: Night of the Chicken Dead,Lloyd Kaufman,2006,USA
312,Pride and Prejudice and Zombies,Burr Steers,2016,Canada
313,Prince of Darkness,John Carpenter,1987,Canada
314,Pro Wrestlers vs Zombies,Cody Knotts,2014,USA
315,Pushin' Up Daisies,Patrick Franklin,2010,Germany
316,Quarantine,John Erick Dowdle,2008,South Korea
317,Quarantine 2: Terminal,John Pogue,2011,Hong Kong
318,The Quick and the Undead,Gerald Nott,2006,"UK, Mexico, USA, Czech Republic"
319,Rabid,David Cronenberg,1977,USA
320,Rabid,David Cronenberg,1977,Spain
321,Raiders of the Living Dead,Samuel M. Sherman,1986,San Marino
322,Rammbock,Marvin Kren,2010,Spain
323,Rampant,Sung-hoon Kim,2018,Spain
324,Devil Fetus 2: The Rape After,Moon-Tong Lau,1984,UK
325,Ravenous,Antonia Bird,1999,USA
326,Re-Animator,Stuart Gordon,1985,Canada
327,REC,"Jaume Balagueró, Paco Plaza",2007,USA
328,Rec 2,Marco Romano,2015,USA
329,[REC] 3: Genesis,Paco Plaza,2012,"UK, Germany, France, USA"
330,[REC] 4: Apocalypse,Jaume Balagueró,2014,"Germany, France, USA, Canada, UK"
331,Redcon-1,Chee Keong Cheung,2018,"Germany, France, UK, Canada, USA"
332,Redneck Zombies,Pericles Lewnes,1989,Japan
333,Reel Zombies,"David J. Francis, Mike Masters",2008,Japan
334,Reichsführer-SS,David B. Stewart III,2015,"France, Australia, Germany, UK, USA, Mexico, Canada"
335,Remains,Colin Theys,2011,"USA, Germany, France, Canada, South Africa, Australia, UK, Japan"
336,Resident Evil,Paul W.S. Anderson,2002,"Germany, Canada, USA, France, UK"
337,Resident Evil: Afterlife,Paul W.S. Anderson,2010,Japan
338,Resident Evil: Apocalypse,Alexander Witt,2004,USA
339,Resident Evil: Damnation,Makoto Kamiya,2012,USA
340,Resident Evil: Degeneration,Makoto Kamiya,2008,"USA, Romania"
341,Resident Evil: Extinction,Russell Mulcahy,2007,"USA, Romania"
342,Resident Evil: The Final Chapter,Paul W.S. Anderson,2016,"USA, United Arab Emirates"
343,Resident Evil: Retribution,Paul W.S. Anderson,2012,France
344,RESIDENT EVIL: VENDETTA,Takanori Tsujimoto,2017,"USA, Hong Kong, Taiwan"
345,The Return of the Living Dead,Dan O'Bannon,1985,USA
346,They Won't Stay Dead: A Look at Return of the Living Dead Part II,N/A,2011,USA
347,Return of the Living Dead: Necropolis,Ellory Elkayem,2005,"UK, Spain, Belgium"
348,Return of the Living Dead: Rave to the Grave,Ellory Elkayem,2005,USA
349,The Crazies,Breck Eisner,2010,Indonesia
350,The Returned,N/A,2012,USA
351,The Revenge of the Living Dead Girls,Pierre B. Reinhard,1987,USA
352,The Revenant,Alejandro G. Iñárritu,2015,USA
353,Revenge of the Zombies,Steve Sekely,1943,Thailand
354,Revolt of the Zombies,Victor Halperin,1936,USA
355,The Rezort,Steve Barker,2015,USA
356,Rise of the Zombies,Nick Lyon,2012,Japan
357,Ritual,Joko Anwar,2012,USA
358,The Roost,Ti West,2005,South Korea
359,Route 666,William Wesley,2001,USA
360,Run! Bitch Run!,Joseph Guzman,2009,Spain
361,Sars Wars,Taweewat Wantha,2004,USA
362,Scary or Die,"Bob Badway, Michael Emanuel, Igor Meglic",2012,Hong Kong
363,Scooby-Doo on Zombie Island,"Hiroshi Aoyama, Kazumi Fukushima, Jim Stenstrum",1998,USA
364,School-Live!,N/A,2015,"UK, France"
365,Schoolgirl Apocalypse,John Cairns,2011,UK
366,Scouts Guide to the Zombie Apocalypse,Christopher Landon,2015,USA
367,Seoul Station,Sang-ho Yeon,2016,Canada
368,The Serpent and the Rainbow,Wes Craven,1988,USA
369,"Sexykiller, morirás por ella",Miguel Martí,2008,Netherlands
370,Shadow: Dead Riot,Derek Wan,2006,USA
371,Shaolin vs. Evil Dead,Douglas Kung,2004,"Canada, USA"
372,Shatter Dead,Scooter McCrae,1994,USA
373,Shaun of the Dead,Edgar Wright,2004,USA
374,Shed of the Dead,Drew Cullingham,2019,Australia
375,Shock Waves,Ken Wiederhorn,1977,UK
376,Sick: Survive the Night,Ryan M. Andrews,2012,UK
377,"Silent Night, Zombie Night",Sean Cain,2009,USA
378,Sint,Dick Maas,2010,USA
379,The Sky Has Fallen,Doug Roos,2009,USA
380,Slither,James Gunn,2006,USA
381,Special Dead,"Thomas L. Phillips, Sean Simmons",2006,USA
382,Splinter,Toby Wilkins,2008,"USA, Canada"
383,Stacy,Seddon Stokes,2013,USA
384,Stag Night of the Dead,Neil Jones,2010,USA
385,Stalled,Christian James,2013,USA
386,State of Emergency,Turner Clay,2011,USA
387,The Stink of Flesh,Scott Phillips,2005,Italy
388,Sugar Hill,Leon Ichaso,1993,USA
389,The Supernaturals,Armand Mastroianni,1986,"South Korea, USA"
390,Surf II,Randall M. Badat,1984,France
